request_id,event_timestamp,processing_timestamp,endpoint,attempt_number,status,latency_ms,total_latency_ms,found,visited_count,runtime_ms,error_message
154,2025-12-26T15:54:30.095560,2025-12-26T15:54:30.100562,localhost:50051,1,SUCCESS,5.00,5.00,False,0,0.00,
155,2025-12-26T15:54:30.204996,2025-12-26T15:54:30.213848,localhost:50052,1,SUCCESS,8.85,8.85,False,0,0.00,
156,2025-12-26T15:54:30.314979,2025-12-26T15:54:30.319971,localhost:50051,1,SUCCESS,4.99,4.99,False,0,0.00,
157,2025-12-26T15:54:30.425299,2025-12-26T15:54:30.433336,localhost:50052,1,SUCCESS,8.04,8.04,False,0,0.00,
158,2025-12-26T15:54:30.534118,2025-12-26T15:54:30.542937,localhost:50051,1,SUCCESS,8.82,8.82,False,0,0.00,
159,2025-12-26T15:54:30.640534,2025-12-26T15:54:30.645535,localhost:50052,1,SUCCESS,5.00,5.00,False,0,0.00,
160,2025-12-26T15:54:30.749641,2025-12-26T15:54:30.757856,localhost:50051,1,SUCCESS,8.21,8.21,False,0,0.00,
161,2025-12-26T15:54:30.858588,2025-12-26T15:54:30.867445,localhost:50052,1,SUCCESS,8.86,8.86,False,0,0.00,
162,2025-12-26T15:54:30.965949,2025-12-26T15:54:30.970950,localhost:50051,1,SUCCESS,5.00,5.00,False,0,0.00,
163,2025-12-26T15:54:31.073468,2025-12-26T15:54:31.080467,localhost:50052,1,SUCCESS,7.00,7.00,False,0,0.00,
164,2025-12-26T15:54:31.182196,2025-12-26T15:54:31.187204,localhost:50051,1,SUCCESS,5.01,5.01,False,0,0.00,
165,2025-12-26T15:54:31.292626,2025-12-26T15:54:31.301490,localhost:50052,1,SUCCESS,8.86,8.86,False,0,0.00,
166,2025-12-26T15:54:31.401076,2025-12-26T15:54:31.407065,localhost:50051,1,SUCCESS,5.99,5.99,False,0,0.00,
167,2025-12-26T15:54:31.510435,2025-12-26T15:54:31.518436,localhost:50052,1,SUCCESS,8.00,8.00,False,0,0.00,
168,2025-12-26T15:54:31.619523,2025-12-26T15:54:31.627390,localhost:50051,1,SUCCESS,7.87,7.87,False,0,0.00,
169,2025-12-26T15:54:31.729094,2025-12-26T15:54:31.735002,localhost:50052,1,SUCCESS,5.91,5.91,False,0,0.00,
170,2025-12-26T15:54:31.838575,2025-12-26T15:54:31.843578,localhost:50051,1,SUCCESS,5.00,5.00,False,0,0.00,
171,2025-12-26T15:54:31.946838,2025-12-26T15:54:31.954321,localhost:50052,1,SUCCESS,7.48,7.48,False,0,0.00,
172,2025-12-26T15:54:32.056702,2025-12-26T15:54:32.064536,localhost:50051,1,SUCCESS,7.83,7.83,False,0,0.00,
173,2025-12-26T15:54:32.166917,2025-12-26T15:54:32.174791,localhost:50052,1,SUCCESS,7.87,7.87,False,0,0.00,
174,2025-12-26T15:54:32.276039,2025-12-26T15:54:32.282018,localhost:50051,1,SUCCESS,5.98,5.98,False,0,0.00,
175,2025-12-26T15:54:32.386559,2025-12-26T15:54:32.391561,localhost:50052,1,SUCCESS,5.00,5.00,False,0,0.00,
176,2025-12-26T15:54:32.493340,2025-12-26T15:54:32.503261,localhost:50051,1,SUCCESS,9.92,9.92,False,0,0.00,
177,2025-12-26T15:54:32.603149,2025-12-26T15:54:32.613207,localhost:50052,1,SUCCESS,10.06,10.06,False,0,0.00,
178,2025-12-26T15:54:32.711949,2025-12-26T15:54:32.720012,localhost:50051,1,SUCCESS,8.06,8.06,False,0,0.00,
179,2025-12-26T15:54:32.822222,2025-12-26T15:54:32.827219,localhost:50052,1,SUCCESS,5.00,5.00,False,0,0.00,
180,2025-12-26T15:54:32.929797,2025-12-26T15:54:32.936782,localhost:50051,1,SUCCESS,6.98,6.98,False,0,0.00,
181,2025-12-26T15:54:33.040685,2025-12-26T15:54:33.045658,localhost:50052,1,SUCCESS,4.97,4.97,False,0,0.00,
182,2025-12-26T15:54:33.151309,2025-12-26T15:54:33.159624,localhost:50051,1,SUCCESS,8.31,8.31,False,0,0.00,
